Time(s),CH1V,CH4V
-1.000000e-01,4.773333e-02,1.866667e-02
-9.980000e-02,4.106667e-02,1.333333e-03
-9.960000e-02,5.906667e-02,-2.026667e-02
-9.940000e-02,5.000000e-02,-3.760000e-02
-9.920000e-02,6.360000e-02,9.866667e-03
-9.900000e-02,6.586666e-02,2.293333e-02
-9.880000e-02,3.880000e-02,-2.933333e-03
-9.860000e-02,4.560000e-02,-2.933333e-03
-9.840000e-02,7.253333e-02,-2.026667e-02
-9.820000e-02,2.973333e-02,9.866667e-03
-9.800000e-02,3.426667e-02,-1.600000e-02
-9.780000e-02,2.306667e-02,-2.933333e-03
-9.760000e-02,3.426667e-02,1.333333e-03
-9.740000e-02,5.226667e-02,-7.466667e-03
-9.720000e-02,2.306667e-02,1.866667e-02
-9.700000e-02,4.106667e-02,9.866667e-03
-9.680000e-02,3.426667e-02,-7.466667e-03
-9.660000e-02,4.106667e-02,-2.906667e-02
-9.640000e-02,4.560000e-02,-2.933333e-03
-9.620000e-02,4.106667e-02,1.333333e-03
-9.600000e-02,4.773333e-02,-1.600000e-02
-9.580000e-02,4.333333e-02,3.146667e-02
-9.560000e-02,5.680000e-02,9.866667e-03
-9.540000e-02,3.426667e-02,-2.933333e-03
-9.520000e-02,2.746667e-02,9.866667e-03
-9.500000e-02,3.653333e-02,3.146667e-02
-9.480000e-02,4.106667e-02,-2.933333e-03
-9.460000e-02,4.560000e-02,-2.906667e-02
-9.440000e-02,5.906667e-02,-2.026667e-02
-9.420000e-02,5.906667e-02,1.333333e-03
-9.400000e-02,4.106667e-02,9.866667e-03
-9.380000e-02,3.653333e-02,9.866667e-03
-9.360000e-02,4.106667e-02,1.333333e-03
-9.340000e-02,3.200000e-02,-1.173333e-02
-9.320000e-02,2.973333e-02,-1.173333e-02
-9.300000e-02,5.226667e-02,-2.026667e-02
-9.280000e-02,2.973333e-02,-1.600000e-02
-9.260000e-02,5.680000e-02,5.600000e-03
-9.240000e-02,3.653333e-02,5.600000e-03
-9.220000e-02,4.106667e-02,-1.600000e-02
-9.200000e-02,3.653333e-02,5.600000e-03
-9.180000e-02,4.773333e-02,-1.600000e-02
-9.160000e-02,4.560000e-02,1.333333e-03
-9.140000e-02,3.426667e-02,9.866667e-03
-9.120000e-02,3.653333e-02,5.600000e-03
-9.100000e-02,3.426667e-02,9.866667e-03
-9.080000e-02,1.400000e-02,-1.173333e-02
-9.060000e-02,5.226667e-02,5.600000e-03
-9.040000e-02,6.360000e-02,9.866667e-03
-9.020000e-02,3.653333e-02,-1.173333e-02
-9.000000e-02,3.426667e-02,-2.026667e-02
-8.980000e-02,3.880000e-02,-1.600000e-02
-8.960000e-02,4.560000e-02,-1.600000e-02
-8.940000e-02,4.560000e-02,1.866667e-02
-8.920000e-02,4.333333e-02,-2.933333e-03
-8.900000e-02,3.653333e-02,-2.933333e-03
-8.880000e-02,4.333333e-02,1.333333e-03
-8.860000e-02,3.200000e-02,1.333333e-03
-8.840000e-02,5.000000e-02,1.866667e-02
-8.820000e-02,6.800000e-02,-7.466667e-03
-8.800000e-02,5.453333e-02,1.333333e-03
-8.780000e-02,2.973333e-02,1.333333e-03
-8.760000e-02,3.426667e-02,1.333333e-03
-8.740000e-02,2.306667e-02,1.413333e-02
-8.720000e-02,4.106667e-02,9.866667e-03
-8.700000e-02,3.653333e-02,-2.933333e-03
-8.680000e-02,5.453333e-02,1.333333e-03
-8.660000e-02,6.133333e-02,-1.600000e-02
-8.640000e-02,5.226667e-02,1.333333e-03
-8.620000e-02,5.453333e-02,-2.933333e-03
-8.600000e-02,3.426667e-02,-2.906667e-02
-8.580000e-02,2.973333e-02,1.333333e-03
-8.560000e-02,2.746667e-02,1.333333e-03
-8.540000e-02,2.306667e-02,-2.933333e-03
-8.520000e-02,3.426667e-02,1.413333e-02
-8.500000e-02,6.360000e-02,9.866667e-03
-8.480000e-02,8.613333e-02,-1.600000e-02
-8.460000e-02,5.226667e-02,1.333333e-03
-8.440000e-02,2.306667e-02,-2.933333e-03
-8.420000e-02,4.773333e-02,-2.933333e-03
-8.400000e-02,3.880000e-02,-7.466667e-03
-8.380000e-02,5.906667e-02,-2.480000e-02
-8.360000e-02,3.653333e-02,-1.600000e-02
-8.340000e-02,2.306667e-02,-2.026667e-02
-8.320000e-02,5.906667e-02,-1.600000e-02
-8.300000e-02,5.453333e-02,-1.600000e-02
-8.280000e-02,2.973333e-02,1.866667e-02
-8.260000e-02,6.586666e-02,-1.600000e-02
-8.240000e-02,4.333333e-02,-2.026667e-02
-8.220000e-02,4.560000e-02,1.333333e-03
-8.200000e-02,7.480000e-02,-1.173333e-02
-8.180000e-02,2.533333e-02,9.866667e-03
-8.160000e-02,5.226667e-02,-1.600000e-02
-8.140000e-02,4.560000e-02,5.600000e-03
-8.120000e-02,5.453333e-02,-2.026667e-02
-8.100000e-02,3.200000e-02,9.866667e-03
-8.080000e-02,5.226667e-02,-2.026667e-02
-8.060000e-02,5.680000e-02,-1.173333e-02
-8.040000e-02,2.533333e-02,1.333333e-03
-8.020000e-02,5.000000e-02,-2.906667e-02
-8.000000e-02,4.106667e-02,-2.933333e-03
-7.980000e-02,3.426667e-02,-2.906667e-02
-7.960000e-02,6.586666e-02,-2.933333e-03
-7.940000e-02,4.560000e-02,-7.466667e-03
-7.920000e-02,4.333333e-02,2.720000e-02
-7.900000e-02,3.200000e-02,2.720000e-02
-7.880000e-02,4.333333e-02,-2.026667e-02
-7.860000e-02,3.880000e-02,-1.173333e-02
-7.840000e-02,7.026666e-02,1.866667e-02
-7.820000e-02,4.106667e-02,-7.466667e-03
-7.800000e-02,4.333333e-02,1.866667e-02
-7.780000e-02,3.426667e-02,9.866667e-03
-7.760000e-02,2.533333e-02,-2.933333e-03
-7.740000e-02,3.880000e-02,-2.480000e-02
-7.720000e-02,2.746667e-02,9.866667e-03
-7.700000e-02,6.360000e-02,9.866667e-03
-7.680000e-02,4.106667e-02,-1.173333e-02
-7.660000e-02,4.106667e-02,1.333333e-03
-7.640000e-02,4.560000e-02,1.333333e-03
-7.620000e-02,7.026666e-02,-1.600000e-02
-7.600000e-02,1.400000e-02,-7.466667e-03
-7.580000e-02,2.533333e-02,1.333333e-03
-7.560000e-02,4.106667e-02,9.866667e-03
-7.540000e-02,2.973333e-02,1.866667e-02
-7.520000e-02,4.560000e-02,1.333333e-03
-7.500000e-02,2.973333e-02,1.866667e-02
-7.480000e-02,7.480000e-02,-1.173333e-02
-7.460000e-02,2.533333e-02,9.866667e-03
-7.440000e-02,3.653333e-02,-2.480000e-02
-7.420000e-02,3.880000e-02,-1.173333e-02
-7.400000e-02,4.106667e-02,-2.933333e-03
-7.380000e-02,3.880000e-02,-7.466667e-03
-7.360000e-02,3.880000e-02,9.866667e-03
-7.340000e-02,4.773333e-02,1.866667e-02
-7.320000e-02,3.653333e-02,1.866667e-02
-7.300000e-02,5.680000e-02,1.333333e-03
-7.280000e-02,3.653333e-02,-2.026667e-02
-7.260000e-02,1.853333e-02,9.866667e-03
-7.240000e-02,3.200000e-02,-7.466667e-03
-7.220000e-02,3.426667e-02,-2.026667e-02
-7.200000e-02,3.426667e-02,1.333333e-03
-7.180000e-02,3.426667e-02,-2.933333e-03
-7.160000e-02,4.106667e-02,1.333333e-03
-7.140000e-02,5.906667e-02,-2.933333e-03
-7.120000e-02,2.973333e-02,-7.466667e-03
-7.100000e-02,3.426667e-02,1.866667e-02
-7.080000e-02,6.133333e-02,-2.026667e-02
-7.060000e-02,4.560000e-02,-2.933333e-03
-7.040000e-02,4.773333e-02,1.333333e-03
-7.020000e-02,4.333333e-02,5.600000e-03
-7.000000e-02,3.653333e-02,-2.933333e-03
-6.980000e-02,5.906667e-02,5.600000e-03
-6.960000e-02,4.560000e-02,1.333333e-03
-6.940000e-02,3.426667e-02,1.333333e-03
-6.920000e-02,1.853333e-02,9.866667e-03
-6.900000e-02,3.653333e-02,9.866667e-03
-6.880000e-02,3.426667e-02,1.333333e-03
-6.860000e-02,3.653333e-02,-1.600000e-02
-6.840000e-02,5.453333e-02,1.333333e-03
-6.820000e-02,1.853333e-02,-7.466667e-03
-6.800000e-02,3.426667e-02,-2.933333e-03
-6.780000e-02,4.560000e-02,9.866667e-03
-6.760000e-02,5.906667e-02,1.333333e-03
-6.740000e-02,2.746667e-02,-1.173333e-02
-6.720000e-02,2.533333e-02,-7.466667e-03
-6.700000e-02,3.426667e-02,-2.933333e-03
-6.680000e-02,2.973333e-02,-2.026667e-02
-6.660000e-02,3.200000e-02,-7.466667e-03
-6.640000e-02,9.280000e-02,-1.600000e-02
-6.620000e-02,2.533333e-02,-2.933333e-03
-6.600000e-02,5.226667e-02,-2.026667e-02
-6.580000e-02,2.973333e-02,-1.600000e-02
-6.560000e-02,5.000000e-02,2.293333e-02
-6.540000e-02,4.106667e-02,-2.933333e-03
-6.520000e-02,2.533333e-02,-2.933333e-03
-6.500000e-02,1.853333e-02,2.293333e-02
-6.480000e-02,4.106667e-02,5.600000e-03
-6.460000e-02,4.333333e-02,1.333333e-03
-6.440000e-02,6.586666e-02,-2.906667e-02
-6.420000e-02,4.560000e-02,2.720000e-02
-6.400000e-02,4.773333e-02,3.146667e-02
-6.380000e-02,4.106667e-02,-2.933333e-03
-6.360000e-02,3.426667e-02,1.333333e-03
-6.340000e-02,4.560000e-02,5.600000e-03
-6.320000e-02,2.533333e-02,1.333333e-03
-6.300000e-02,3.426667e-02,9.866667e-03
-6.280000e-02,1.853333e-02,9.866667e-03
-6.260000e-02,7.253333e-02,-1.600000e-02
-6.240000e-02,5.680000e-02,9.866667e-03
-6.220000e-02,4.560000e-02,-7.466667e-03
-6.200000e-02,5.906667e-02,2.293333e-02
-6.180000e-02,3.426667e-02,-2.933333e-03
-6.160000e-02,2.080000e-02,1.333333e-03
-6.140000e-02,3.426667e-02,1.333333e-03
-6.120000e-02,3.426667e-02,-7.466667e-03
-6.100000e-02,2.973333e-02,1.333333e-03
-6.080000e-02,2.973333e-02,-2.933333e-03
-6.060000e-02,5.906667e-02,9.866667e-03
-6.040000e-02,6.133333e-02,-2.026667e-02
-6.020000e-02,3.200000e-02,2.293333e-02
-6.000000e-02,2.306667e-02,-7.466667e-03
-5.980000e-02,4.773333e-02,-7.466667e-03
-5.960000e-02,5.226667e-02,-2.026667e-02
-5.940000e-02,2.973333e-02,-2.026667e-02
-5.920000e-02,3.880000e-02,9.866667e-03
-5.900000e-02,2.973333e-02,9.866667e-03
-5.880000e-02,3.426667e-02,-2.933333e-03
-5.860000e-02,4.333333e-02,1.866667e-02
-5.840000e-02,3.200000e-02,-2.480000e-02
-5.820000e-02,4.773333e-02,-2.480000e-02
-5.800000e-02,6.360000e-02,1.413333e-02
-5.780000e-02,4.560000e-02,1.333333e-03
-5.760000e-02,5.000000e-02,9.866667e-03
-5.740000e-02,6.360000e-02,1.333333e-03
-5.720000e-02,3.880000e-02,9.866667e-03
-5.700000e-02,5.906667e-02,5.600000e-03
-5.680000e-02,4.560000e-02,1.333333e-03
-5.660000e-02,7.026666e-02,5.600000e-03
-5.640000e-02,5.000000e-02,-2.026667e-02
-5.620000e-02,3.653333e-02,-2.933333e-03
-5.600000e-02,4.773333e-02,-2.480000e-02
-5.580000e-02,4.106667e-02,-2.026667e-02
-5.560000e-02,3.426667e-02,1.333333e-03
-5.540000e-02,4.773333e-02,-2.933333e-03
-5.520000e-02,3.200000e-02,-2.026667e-02
-5.500000e-02,3.653333e-02,2.293333e-02
-5.480000e-02,6.800000e-02,1.333333e-03
-5.460000e-02,3.426667e-02,-2.026667e-02
-5.440000e-02,2.746667e-02,1.333333e-03
-5.420000e-02,4.560000e-02,-2.906667e-02
-5.400000e-02,5.226667e-02,1.333333e-03
-5.380000e-02,3.653333e-02,-2.026667e-02
-5.360000e-02,3.880000e-02,-1.173333e-02
-5.340000e-02,5.906667e-02,-7.466667e-03
-5.320000e-02,4.106667e-02,-2.933333e-03
-5.300000e-02,4.773333e-02,9.866667e-03
-5.280000e-02,5.000000e-02,9.866667e-03
-5.260000e-02,5.680000e-02,-2.480000e-02
-5.240000e-02,2.533333e-02,9.866667e-03
-5.220000e-02,4.333333e-02,1.866667e-02
-5.200000e-02,3.426667e-02,9.866667e-03
-5.180000e-02,5.906667e-02,9.866667e-03
-5.160000e-02,2.306667e-02,2.293333e-02
-5.140000e-02,3.426667e-02,5.600000e-03
-5.120000e-02,5.680000e-02,9.866667e-03
-5.100000e-02,2.973333e-02,2.293333e-02
-5.080000e-02,2.306667e-02,-2.906667e-02
-5.060000e-02,4.773333e-02,9.866667e-03
-5.040000e-02,4.560000e-02,1.333333e-03
-5.020000e-02,4.106667e-02,-2.906667e-02
-5.000000e-02,5.226667e-02,-1.600000e-02
-4.980000e-02,2.746667e-02,1.333333e-03
-4.960000e-02,3.426667e-02,-2.933333e-03
-4.940000e-02,5.226667e-02,1.333333e-03
-4.920000e-02,4.560000e-02,-1.600000e-02
-4.900000e-02,4.773333e-02,-1.600000e-02
-4.880000e-02,4.106667e-02,5.600000e-03
-4.860000e-02,2.973333e-02,-2.026667e-02
-4.840000e-02,3.426667e-02,-2.026667e-02
-4.820000e-02,3.880000e-02,1.333333e-03
-4.800000e-02,1.853333e-02,-2.933333e-03
-4.780000e-02,5.453333e-02,-1.600000e-02
-4.760000e-02,2.973333e-02,-2.933333e-03
-4.740000e-02,4.560000e-02,5.600000e-03
-4.720000e-02,4.106667e-02,-7.466667e-03
-4.700000e-02,3.653333e-02,1.333333e-03
-4.680000e-02,4.773333e-02,9.866667e-03
-4.660000e-02,5.906667e-02,-2.026667e-02
-4.640000e-02,3.426667e-02,1.333333e-03
-4.620000e-02,3.426667e-02,-2.933333e-03
-4.600000e-02,3.880000e-02,9.866667e-03
-4.580000e-02,3.653333e-02,-2.933333e-03
-4.560000e-02,2.973333e-02,-2.026667e-02
-4.540000e-02,4.106667e-02,9.866667e-03
-4.520000e-02,4.560000e-02,1.333333e-03
-4.500000e-02,5.000000e-02,-1.173333e-02
-4.480000e-02,6.586666e-02,2.293333e-02
-4.460000e-02,5.226667e-02,-3.760000e-02
-4.440000e-02,4.106667e-02,1.866667e-02
-4.420000e-02,5.906667e-02,1.866667e-02
-4.400000e-02,2.973333e-02,-2.026667e-02
-4.380000e-02,1.853333e-02,1.333333e-03
-4.360000e-02,5.680000e-02,-1.600000e-02
-4.340000e-02,5.906667e-02,-2.933333e-03
