Time(s),CH1V,CH4V
-5.000000e-02,3.946667e-02,-3.760000e-02
-4.990000e-02,5.653333e-02,-3.760000e-02
-4.980000e-02,2.666667e-02,-5.066667e-02
-4.970000e-02,4.800000e-02,-2.906667e-02
-4.960000e-02,4.373333e-02,-4.186667e-02
-4.950000e-02,6.080000e-02,-3.760000e-02
-4.940000e-02,2.666667e-02,-2.906667e-02
-4.930000e-02,4.800000e-02,-2.906667e-02
-4.920000e-02,4.373333e-02,-2.026667e-02
-4.910000e-02,6.080000e-02,-5.493334e-02
-4.900000e-02,3.520000e-02,-4.186667e-02
-4.890000e-02,2.666667e-02,-3.760000e-02
-4.880000e-02,1.813333e-02,-3.760000e-02
-4.870000e-02,1.034667e-01,-1.600000e-02
-4.860000e-02,6.080000e-02,-4.640000e-02
-4.850000e-02,2.666667e-02,-3.760000e-02
-4.840000e-02,6.080000e-02,-3.333334e-02
-4.830000e-02,3.520000e-02,-5.066667e-02
-4.820000e-02,5.333333e-03,-2.906667e-02
-4.810000e-02,5.226667e-02,-3.760000e-02
-4.800000e-02,5.653333e-02,-2.026667e-02
-4.790000e-02,2.240000e-02,-4.186667e-02
-4.780000e-02,2.666667e-02,-3.333334e-02
-4.770000e-02,2.666667e-02,-5.920000e-02
-4.760000e-02,3.946667e-02,-3.760000e-02
-4.750000e-02,3.093333e-02,-5.066667e-02
-4.740000e-02,5.653333e-02,-3.333334e-02
-4.730000e-02,3.946667e-02,-3.760000e-02
-4.720000e-02,3.093333e-02,-2.026667e-02
-4.710000e-02,3.946667e-02,-2.906667e-02
-4.700000e-02,1.066667e-03,-5.920000e-02
-4.690000e-02,3.946667e-02,-4.186667e-02
-4.680000e-02,2.666667e-02,-2.906667e-02
-4.670000e-02,4.800000e-02,-2.480000e-02
-4.660000e-02,3.946667e-02,-4.186667e-02
-4.650000e-02,6.080000e-02,-2.906667e-02
-4.640000e-02,3.946667e-02,-2.906667e-02
-4.630000e-02,6.933334e-02,-4.186667e-02
-4.620000e-02,3.520000e-02,-2.906667e-02
-4.610000e-02,3.520000e-02,-4.186667e-02
-4.600000e-02,6.506667e-02,-2.906667e-02
-4.590000e-02,1.386667e-02,-3.333334e-02
-4.580000e-02,3.520000e-02,-3.760000e-02
-4.570000e-02,2.666667e-02,-4.186667e-02
-4.560000e-02,2.240000e-02,-4.640000e-02
-4.550000e-02,2.666667e-02,-3.760000e-02
-4.540000e-02,1.813333e-02,-4.640000e-02
-4.530000e-02,1.813333e-02,-3.760000e-02
-4.520000e-02,5.653333e-02,-3.760000e-02
-4.510000e-02,3.520000e-02,-3.760000e-02
-4.500000e-02,2.666667e-02,-2.026667e-02
-4.490000e-02,4.373333e-02,-2.906667e-02
-4.480000e-02,5.653333e-02,-4.186667e-02
-4.470000e-02,6.080000e-02,-4.186667e-02
-4.460000e-02,2.240000e-02,-4.640000e-02
-4.450000e-02,6.080000e-02,-1.600000e-02
-4.440000e-02,1.813333e-02,-4.640000e-02
-4.430000e-02,4.800000e-02,-3.760000e-02
-4.420000e-02,2.666667e-02,-5.493334e-02
-4.410000e-02,1.813333e-02,-3.760000e-02
-4.400000e-02,1.813333e-02,-2.906667e-02
-4.390000e-02,4.800000e-02,-4.186667e-02
-4.380000e-02,4.800000e-02,-4.186667e-02
-4.370000e-02,3.520000e-02,-2.906667e-02
-4.360000e-02,5.653333e-02,-3.760000e-02
-4.350000e-02,2.666667e-02,-3.760000e-02
-4.340000e-02,3.520000e-02,-2.480000e-02
-4.330000e-02,9.600000e-03,-3.760000e-02
-4.320000e-02,3.946667e-02,-3.760000e-02
-4.310000e-02,2.240000e-02,-2.906667e-02
-4.300000e-02,3.946667e-02,-3.760000e-02
-4.290000e-02,3.093333e-02,-4.186667e-02
-4.280000e-02,1.813333e-02,-2.480000e-02
-4.270000e-02,1.813333e-02,-1.600000e-02
-4.260000e-02,3.520000e-02,-4.186667e-02
-4.250000e-02,3.946667e-02,-3.760000e-02
-4.240000e-02,3.946667e-02,-4.186667e-02
-4.230000e-02,5.333333e-03,-2.906667e-02
-4.220000e-02,1.813333e-02,-3.760000e-02
-4.210000e-02,3.520000e-02,-5.920000e-02
-4.200000e-02,1.813333e-02,-5.066667e-02
-4.190000e-02,4.800000e-02,-3.333334e-02
-4.180000e-02,9.600000e-03,-5.066667e-02
-4.170000e-02,3.946667e-02,-3.760000e-02
-4.160000e-02,5.226667e-02,-4.186667e-02
-4.150000e-02,3.093333e-02,-5.066667e-02
-4.140000e-02,4.800000e-02,-4.186667e-02
-4.130000e-02,5.653333e-02,-3.760000e-02
-4.120000e-02,3.946667e-02,-4.186667e-02
-4.110000e-02,3.520000e-02,-2.906667e-02
-4.100000e-02,1.813333e-02,-3.760000e-02
-4.090000e-02,2.240000e-02,-1.600000e-02
-4.080000e-02,2.240000e-02,-4.186667e-02
-4.070000e-02,3.520000e-02,-5.066667e-02
-4.060000e-02,5.653333e-02,-2.026667e-02
-4.050000e-02,3.520000e-02,-2.906667e-02
-4.040000e-02,3.093333e-02,-3.760000e-02
-4.030000e-02,2.666667e-02,-2.906667e-02
-4.020000e-02,3.946667e-02,-3.760000e-02
-4.010000e-02,5.333333e-03,-5.493334e-02
-4.000000e-02,5.226667e-02,-4.640000e-02
