Time(s),CH1V,CH2V,CH4V
-1.760000e-03,6.993333e-02,1.181333e-02,-8.000000e-03
-1.740000e-03,6.500000e-02,1.597333e-02,-9.466667e-03
-1.720000e-03,6.266667e-02,1.276000e-02,-7.733333e-03
-1.700000e-03,6.193333e-02,8.600000e-03,-9.466667e-03
-1.680000e-03,6.806666e-02,1.185333e-02,-8.400000e-03
-1.660000e-03,6.606667e-02,1.533333e-02,-9.333333e-03
-1.640000e-03,6.340000e-02,1.389333e-02,-7.200000e-03
-1.620000e-03,6.273334e-02,9.533334e-03,-8.400000e-03
-1.600000e-03,7.260000e-02,1.188000e-02,-1.026667e-02
-1.580000e-03,7.033333e-02,1.532000e-02,-9.066666e-03
-1.560000e-03,6.620000e-02,1.436000e-02,-7.733333e-03
-1.540000e-03,5.746667e-02,1.024000e-02,-9.200000e-03
-1.520000e-03,6.393334e-02,1.057333e-02,-8.133333e-03
-1.500000e-03,6.913333e-02,1.592000e-02,-8.933334e-03
-1.480000e-03,6.193333e-02,1.430667e-02,-8.933334e-03
-1.460000e-03,6.620000e-02,1.008000e-02,-7.733333e-03
-1.440000e-03,7.020000e-02,9.600000e-03,-9.200000e-03
-1.420000e-03,6.720000e-02,1.590667e-02,-8.800000e-03
-1.400000e-03,6.333333e-02,1.589333e-02,-8.400000e-03
-1.380000e-03,6.326666e-02,9.440000e-03,-1.053333e-02
-1.360000e-03,6.366666e-02,1.010667e-02,-6.400000e-03
-1.340000e-03,6.600000e-02,1.425333e-02,-8.400000e-03
-1.320000e-03,5.873333e-02,1.504000e-02,-1.040000e-02
-1.300000e-03,6.433333e-02,1.036000e-02,-8.800000e-03
-1.280000e-03,6.740000e-02,9.666666e-03,-9.066666e-03
-1.260000e-03,6.866667e-02,1.457333e-02,-8.800000e-03
-1.240000e-03,6.726667e-02,1.648000e-02,-8.933334e-03
-1.220000e-03,6.473333e-02,1.186667e-02,-8.400000e-03
-1.200000e-03,6.500000e-02,9.453333e-03,-1.040000e-02
-1.180000e-03,6.886667e-02,1.372000e-02,-9.866667e-03
-1.160000e-03,6.633333e-02,1.644000e-02,-9.600000e-03
-1.140000e-03,6.453333e-02,1.242667e-02,-9.200000e-03
