Time(s),CH1V,CH2V,CH4V
-1.920000e-03,6.480000e-02,2.313333e-02,-8.933334e-03
-1.900000e-03,6.586666e-02,2.126667e-02,-9.200000e-03
-1.880000e-03,6.613334e-02,1.686667e-02,-7.600000e-03
-1.860000e-03,6.480000e-02,1.660000e-02,-1.053333e-02
-1.840000e-03,6.000000e-02,1.986667e-02,-9.066666e-03
-1.820000e-03,6.693333e-02,2.360000e-02,-8.800000e-03
-1.800000e-03,6.880000e-02,2.106667e-02,-7.066667e-03
-1.780000e-03,6.800000e-02,1.606667e-02,-8.133333e-03
-1.760000e-03,6.133333e-02,1.620000e-02,-8.800000e-03
-1.740000e-03,5.973333e-02,2.086667e-02,-9.066666e-03
-1.720000e-03,6.480000e-02,2.313333e-02,-7.333334e-03
-1.700000e-03,7.066667e-02,2.000000e-02,-8.666667e-03
-1.680000e-03,6.426667e-02,1.693333e-02,-9.600000e-03
-1.660000e-03,6.293333e-02,1.840000e-02,-9.333333e-03
-1.640000e-03,6.666667e-02,2.100000e-02,-6.933333e-03
-1.620000e-03,6.640000e-02,2.273333e-02,-8.800000e-03
-1.600000e-03,6.800000e-02,1.953333e-02,-7.333334e-03
-1.580000e-03,6.560000e-02,1.680000e-02,-8.666667e-03
-1.560000e-03,6.160000e-02,1.773333e-02,-1.066667e-02
-1.540000e-03,6.426667e-02,2.373333e-02,-9.733333e-03
-1.520000e-03,6.506667e-02,2.180000e-02,-9.333333e-03
-1.500000e-03,6.746667e-02,1.746667e-02,-1.000000e-02
-1.480000e-03,6.800000e-02,1.506667e-02,-8.666667e-03
-1.460000e-03,6.480000e-02,1.900000e-02,-8.400000e-03
-1.440000e-03,6.186667e-02,2.213333e-02,-6.933333e-03
-1.420000e-03,6.400000e-02,2.160000e-02,-9.600000e-03
-1.400000e-03,6.613334e-02,1.860000e-02,-8.800000e-03
-1.380000e-03,6.320000e-02,1.580000e-02,-6.133333e-03
-1.360000e-03,6.240000e-02,1.953333e-02,-9.333333e-03
-1.340000e-03,6.480000e-02,2.266667e-02,-8.533333e-03
-1.320000e-03,6.853333e-02,2.166667e-02,-8.133333e-03
-1.300000e-03,6.560000e-02,1.673333e-02,-1.026667e-02
-1.280000e-03,6.373333e-02,1.680000e-02,-1.093333e-02
-1.260000e-03,6.240000e-02,2.066667e-02,-8.133333e-03
-1.240000e-03,6.666667e-02,2.353333e-02,-8.133333e-03
-1.220000e-03,6.746667e-02,2.040000e-02,-8.400000e-03
-1.200000e-03,6.906667e-02,1.573333e-02,-8.800000e-03
-1.180000e-03,6.560000e-02,1.746667e-02,-8.133333e-03
-1.160000e-03,6.506667e-02,2.260000e-02,-8.666667e-03
-1.140000e-03,6.533334e-02,2.313333e-02,-8.533333e-03
-1.120000e-03,7.013334e-02,1.893333e-02,-9.200000e-03
-1.100000e-03,6.613334e-02,1.566667e-02,-5.200000e-03
-1.080000e-03,6.453333e-02,1.680000e-02,-9.466667e-03
-1.060000e-03,6.560000e-02,2.180000e-02,-9.333333e-03
-1.040000e-03,6.560000e-02,2.273333e-02,-8.933334e-03
-1.020000e-03,6.586666e-02,1.780000e-02,-9.333333e-03
-1.000000e-03,6.586666e-02,1.680000e-02,-9.466667e-03
-9.800000e-04,6.080000e-02,1.866667e-02,-1.026667e-02
-9.600000e-04,6.560000e-02,2.266667e-02,-8.000000e-03
-9.400000e-04,6.960000e-02,2.213333e-02,-9.333333e-03
-9.200000e-04,7.040000e-02,1.706667e-02,-7.200000e-03
-9.000000e-04,6.613334e-02,1.633333e-02,-8.266667e-03
-8.800000e-04,6.480000e-02,1.800000e-02,-8.266667e-03
-8.600000e-04,6.373333e-02,2.360000e-02,-9.333333e-03
-8.400000e-04,6.826667e-02,2.253333e-02,-8.666667e-03
-8.200000e-04,6.960000e-02,1.680000e-02,-8.400000e-03
-8.000000e-04,6.106667e-02,1.633333e-02,-8.266667e-03
-7.800000e-04,6.080000e-02,1.866667e-02,-8.666667e-03
-7.600000e-04,6.560000e-02,2.360000e-02,-8.266667e-03
-7.400000e-04,7.013334e-02,2.066667e-02,-8.933334e-03
-7.200000e-04,6.666667e-02,1.586667e-02,-6.800000e-03
-7.000000e-04,6.400000e-02,1.620000e-02,-7.733333e-03
-6.800000e-04,6.800000e-02,2.240000e-02,-6.933333e-03
-6.600000e-04,6.640000e-02,2.273333e-02,-9.466667e-03
-6.400000e-04,6.960000e-02,1.933333e-02,-9.333333e-03
-6.200000e-04,6.373333e-02,1.606667e-02,-8.933334e-03
-6.000000e-04,6.213333e-02,1.673333e-02,-7.333334e-03
-5.800000e-04,6.186667e-02,2.146667e-02,-8.400000e-03
-5.600000e-04,6.640000e-02,2.186667e-02,-8.266667e-03
-5.400000e-04,7.493334e-02,1.813333e-02,-1.040000e-02
-5.200000e-04,6.666667e-02,1.553333e-02,-1.080000e-02
-5.000000e-04,6.373333e-02,1.753333e-02,-1.066667e-02
-4.800000e-04,6.026667e-02,2.260000e-02,-8.666667e-03
-4.600000e-04,6.373333e-02,2.320000e-02,-8.666667e-03
-4.400000e-04,7.040000e-02,1.780000e-02,-8.933334e-03
-4.200000e-04,6.720000e-02,1.580000e-02,-9.200000e-03
-4.000000e-04,6.053333e-02,1.880000e-02,-8.533333e-03
-3.800000e-04,6.506667e-02,2.280000e-02,-9.200000e-03
-3.600000e-04,7.306667e-02,2.200000e-02,-8.133333e-03
-3.400000e-04,6.773333e-02,1.873333e-02,-9.866667e-03
-3.200000e-04,6.453333e-02,1.573333e-02,-9.333333e-03
-3.000000e-04,6.293333e-02,1.993333e-02,-7.333334e-03
-2.800000e-04,6.506667e-02,2.306667e-02,-7.733333e-03
-2.600000e-04,6.906667e-02,2.053333e-02,-6.533334e-03
-2.400000e-04,7.546667e-02,1.640000e-02,-5.733334e-03
-2.200000e-04,6.426667e-02,1.586667e-02,-9.066666e-03
-2.000000e-04,6.080000e-02,1.960000e-02,-8.000000e-03
-1.800000e-04,6.160000e-02,2.266667e-02,-6.933333e-03
-1.600000e-04,6.453333e-02,1.953333e-02,-7.600000e-03
