Time(s),CH1V,CH2V,CH4V
-1.760000e-03,6.666667e-02,9.253333e-03,-9.866667e-03
-1.740000e-03,6.553333e-02,1.242667e-02,-6.800000e-03
-1.720000e-03,6.853333e-02,1.701333e-02,-9.733333e-03
-1.700000e-03,7.000000e-02,1.586667e-02,-7.733333e-03
-1.680000e-03,7.333333e-02,1.062667e-02,-8.266667e-03
-1.660000e-03,7.300000e-02,8.160000e-03,-9.200000e-03
-1.640000e-03,6.426667e-02,1.125333e-02,-9.200000e-03
-1.620000e-03,6.533334e-02,1.617333e-02,-1.053333e-02
-1.600000e-03,6.726667e-02,1.586667e-02,-9.866667e-03
-1.580000e-03,7.200000e-02,1.157333e-02,-8.533333e-03
-1.560000e-03,7.226667e-02,6.640000e-03,-7.733333e-03
-1.540000e-03,6.593333e-02,1.110667e-02,-9.733333e-03
-1.520000e-03,6.426667e-02,1.661333e-02,-9.733333e-03
-1.500000e-03,7.260000e-02,1.762667e-02,-7.733333e-03
-1.480000e-03,7.693333e-02,1.196000e-02,-7.200000e-03
-1.460000e-03,7.060000e-02,7.293333e-03,-9.066666e-03
-1.440000e-03,6.546666e-02,1.089333e-02,-8.800000e-03
-1.420000e-03,6.593333e-02,1.542667e-02,-8.933334e-03
-1.400000e-03,7.666667e-02,1.868000e-02,-8.400000e-03
-1.380000e-03,7.233334e-02,1.160000e-02,-1.040000e-02
-1.360000e-03,7.120000e-02,6.946667e-03,-9.466667e-03
-1.340000e-03,6.380000e-02,9.653334e-03,-8.933334e-03
-1.320000e-03,6.733333e-02,1.656000e-02,-1.066667e-02
-1.300000e-03,7.426666e-02,1.814667e-02,-9.200000e-03
-1.280000e-03,8.006667e-02,1.168000e-02,-8.800000e-03
-1.260000e-03,7.646666e-02,6.613333e-03,-6.666667e-03
-1.240000e-03,6.593333e-02,9.160000e-03,-5.866667e-03
-1.220000e-03,6.833334e-02,1.628000e-02,-7.733333e-03
-1.200000e-03,7.380000e-02,1.888000e-02,-7.200000e-03
-1.180000e-03,8.093333e-02,1.346667e-02,-5.866667e-03
-1.160000e-03,7.360000e-02,7.413333e-03,-8.666667e-03
-1.140000e-03,6.806666e-02,9.573333e-03,-9.066666e-03
-1.120000e-03,7.026666e-02,1.617333e-02,-6.933333e-03
-1.100000e-03,7.886667e-02,1.990667e-02,-8.666667e-03
-1.080000e-03,7.933334e-02,1.430667e-02,-8.533333e-03
-1.060000e-03,7.373334e-02,6.866666e-03,-9.733333e-03
-1.040000e-03,6.780000e-02,8.706667e-03,-9.600000e-03
-1.020000e-03,7.200000e-02,1.617333e-02,-6.266667e-03
-1.000000e-03,7.666667e-02,1.933333e-02,-8.533333e-03
-9.800000e-04,8.286667e-02,1.436000e-02,-7.466667e-03
-9.600000e-04,7.873333e-02,5.906667e-03,-8.133333e-03
-9.400000e-04,6.940000e-02,6.866666e-03,-7.466667e-03
-9.200000e-04,6.846667e-02,1.478667e-02,-9.466667e-03
-9.000000e-04,7.393333e-02,1.990667e-02,-7.600000e-03
-8.800000e-04,7.933334e-02,1.460000e-02,-8.266667e-03
-8.600000e-04,8.060000e-02,7.106666e-03,-1.000000e-02
-8.400000e-04,7.580000e-02,5.733334e-03,-1.106667e-02
-8.200000e-04,6.820000e-02,1.400000e-02,-8.800000e-03
-8.000000e-04,7.826667e-02,2.016000e-02,-9.200000e-03
-7.800000e-04,8.220000e-02,1.590667e-02,-6.800000e-03
-7.600000e-04,8.133333e-02,6.666667e-03,-9.066666e-03
-7.400000e-04,7.113333e-02,6.853333e-03,-7.733333e-03
-7.200000e-04,7.120000e-02,1.464000e-02,-1.000000e-02
-7.000000e-04,7.753333e-02,2.013333e-02,-8.800000e-03
-6.800000e-04,8.033334e-02,1.538667e-02,-9.066666e-03
-6.600000e-04,8.453333e-02,6.786667e-03,-8.400000e-03
-6.400000e-04,7.180000e-02,5.920000e-03,-9.733333e-03
-6.200000e-04,7.293333e-02,1.372000e-02,-9.733333e-03
-6.000000e-04,7.880000e-02,2.042667e-02,-9.600000e-03
