Time(s),CH1V,CH2V,CH4V
-1.760000e-03,6.446667e-02,1.590667e-02,-9.733333e-03
-1.740000e-03,6.340000e-02,1.256000e-02,-9.466667e-03
-1.720000e-03,6.546666e-02,9.240000e-03,-8.666667e-03
-1.700000e-03,6.466667e-02,8.466667e-03,-1.026667e-02
-1.680000e-03,7.186667e-02,9.786666e-03,-7.466667e-03
-1.660000e-03,7.446667e-02,1.349333e-02,-8.933334e-03
-1.640000e-03,6.906667e-02,1.626667e-02,-9.466667e-03
-1.620000e-03,6.873333e-02,1.832000e-02,-1.026667e-02
-1.600000e-03,6.400000e-02,1.526667e-02,-1.120000e-02
-1.580000e-03,6.346667e-02,1.260000e-02,-1.040000e-02
-1.560000e-03,6.513333e-02,8.853333e-03,-8.133333e-03
-1.540000e-03,6.733333e-02,8.026667e-03,-8.000000e-03
-1.520000e-03,7.200000e-02,8.626667e-03,-9.066666e-03
-1.500000e-03,7.506667e-02,1.402667e-02,-1.040000e-02
-1.480000e-03,7.553334e-02,1.741333e-02,-9.066666e-03
-1.460000e-03,7.020000e-02,1.766667e-02,-9.200000e-03
-1.440000e-03,7.073333e-02,1.652000e-02,-8.400000e-03
-1.420000e-03,6.680000e-02,1.265333e-02,-8.800000e-03
-1.400000e-03,6.693333e-02,7.453333e-03,-8.266667e-03
-1.380000e-03,7.120000e-02,6.466667e-03,-1.040000e-02
-1.360000e-03,7.800000e-02,9.440000e-03,-8.800000e-03
-1.340000e-03,7.726667e-02,1.292000e-02,-9.866667e-03
-1.320000e-03,7.693333e-02,1.765333e-02,-9.333333e-03
-1.300000e-03,7.306667e-02,1.969333e-02,-7.600000e-03
-1.280000e-03,7.426666e-02,1.736000e-02,-8.400000e-03
-1.260000e-03,6.860000e-02,1.317333e-02,-8.000000e-03
-1.240000e-03,7.173333e-02,7.786667e-03,-6.933333e-03
-1.220000e-03,7.313333e-02,5.533333e-03,-8.533333e-03
-1.200000e-03,7.473333e-02,7.386667e-03,-9.333333e-03
-1.180000e-03,8.026667e-02,1.266667e-02,-8.666667e-03
-1.160000e-03,7.633334e-02,1.721333e-02,-1.026667e-02
-1.140000e-03,7.673334e-02,1.970667e-02,-1.080000e-02
