Time(s),CH1V,CH2V,CH4V
-1.760000e-03,6.840000e-02,7.440000e-03,-8.666667e-03
-1.740000e-03,7.033333e-02,1.157333e-02,-8.133333e-03
-1.720000e-03,7.006667e-02,1.737333e-02,-9.200000e-03
-1.700000e-03,6.646667e-02,1.589333e-02,-7.066667e-03
-1.680000e-03,6.473333e-02,1.218667e-02,-1.053333e-02
-1.660000e-03,6.613334e-02,7.040000e-03,-9.600000e-03
-1.640000e-03,7.300000e-02,1.038667e-02,-9.333333e-03
-1.620000e-03,7.140000e-02,1.625333e-02,-8.133333e-03
-1.600000e-03,7.280000e-02,1.716000e-02,-1.000000e-02
-1.580000e-03,6.213333e-02,1.406667e-02,-8.000000e-03
-1.560000e-03,6.320000e-02,8.973333e-03,-6.666667e-03
-1.540000e-03,7.106667e-02,8.546666e-03,-8.266667e-03
-1.520000e-03,7.173333e-02,1.404000e-02,-8.133333e-03
-1.500000e-03,7.353333e-02,1.786667e-02,-9.600000e-03
-1.480000e-03,6.413333e-02,1.541333e-02,-8.400000e-03
-1.460000e-03,6.713334e-02,9.533334e-03,-8.666667e-03
-1.440000e-03,7.166667e-02,6.920000e-03,-7.733333e-03
-1.420000e-03,7.686666e-02,1.288000e-02,-8.800000e-03
-1.400000e-03,7.926667e-02,1.794667e-02,-1.066667e-02
-1.380000e-03,7.340000e-02,1.777333e-02,-9.066666e-03
-1.360000e-03,6.546666e-02,1.112000e-02,-1.093333e-02
-1.340000e-03,7.026666e-02,6.586667e-03,-7.733333e-03
-1.320000e-03,7.473333e-02,9.720000e-03,-8.000000e-03
-1.300000e-03,7.453334e-02,1.580000e-02,-1.213333e-02
-1.280000e-03,7.220000e-02,1.840000e-02,-7.733333e-03
-1.260000e-03,6.673333e-02,1.348000e-02,-8.400000e-03
-1.240000e-03,7.066667e-02,7.440000e-03,-8.400000e-03
-1.220000e-03,7.726667e-02,7.640000e-03,-8.400000e-03
-1.200000e-03,7.326667e-02,1.449333e-02,-6.666667e-03
-1.180000e-03,7.406667e-02,1.958667e-02,-8.933334e-03
-1.160000e-03,7.073333e-02,1.620000e-02,-9.466667e-03
-1.140000e-03,6.860000e-02,9.066666e-03,-5.733334e-03
-1.120000e-03,7.873333e-02,4.773333e-03,-8.400000e-03
-1.100000e-03,7.566667e-02,1.157333e-02,-8.800000e-03
-1.080000e-03,7.733333e-02,1.874667e-02,-9.733333e-03
-1.060000e-03,6.986666e-02,1.737333e-02,-9.600000e-03
-1.040000e-03,6.966667e-02,1.037333e-02,-7.200000e-03
-1.020000e-03,7.520000e-02,5.453333e-03,-8.266667e-03
-1.000000e-03,7.886667e-02,1.034667e-02,-7.200000e-03
-9.800000e-04,8.053333e-02,1.760000e-02,-9.466667e-03
-9.600000e-04,7.273334e-02,1.852000e-02,-8.400000e-03
-9.400000e-04,6.973334e-02,1.274667e-02,-8.133333e-03
-9.200000e-04,7.360000e-02,5.360000e-03,-8.400000e-03
-9.000000e-04,7.953333e-02,5.466667e-03,-7.600000e-03
-8.800000e-04,8.106667e-02,1.522667e-02,-8.666667e-03
-8.600000e-04,7.620000e-02,2.040000e-02,-9.466667e-03
-8.400000e-04,7.260000e-02,1.689333e-02,-8.666667e-03
-8.200000e-04,7.206666e-02,7.040000e-03,-9.866667e-03
-8.000000e-04,7.653333e-02,5.573333e-03,-9.333333e-03
-7.800000e-04,7.980000e-02,1.209333e-02,-1.040000e-02
-7.600000e-04,8.173333e-02,1.989333e-02,-1.040000e-02
-7.400000e-04,7.773334e-02,1.865333e-02,-7.466667e-03
-7.200000e-04,7.273334e-02,9.786666e-03,-8.266667e-03
-7.000000e-04,7.253333e-02,4.800000e-03,-9.333333e-03
-6.800000e-04,8.140000e-02,1.049333e-02,-7.066667e-03
-6.600000e-04,8.073334e-02,1.861333e-02,-8.533333e-03
-6.400000e-04,7.766667e-02,2.069333e-02,-9.066666e-03
-6.200000e-04,7.086667e-02,1.268000e-02,-8.533333e-03
-6.000000e-04,7.153334e-02,5.560000e-03,-9.066666e-03
-5.800000e-04,8.120000e-02,6.373333e-03,-7.466667e-03
