Time(s),CH1V,CH4V
-1.000000e-05,-2.266666e-02,-1.200000e-03
-9.980000e-06,-4.466666e-02,-8.000000e-03
-9.960000e-06,-4.466666e-02,3.333333e-03
-9.940000e-06,9.999999e-03,-1.693333e-02
-9.920000e-06,-8.866666e-02,-1.693333e-02
-9.900000e-06,-4.466666e-02,-1.586667e-02
-9.880000e-06,-8.866666e-02,-1.200000e-03
-9.860000e-06,-5.533333e-02,-1.920000e-02
-9.840000e-06,6.466666e-02,-3.466667e-03
-9.820000e-06,-3.933333e-02,-1.026667e-02
-9.800000e-06,-8.866666e-02,-1.200000e-03
-9.780000e-06,-1.733333e-02,1.066667e-03
-9.760000e-06,-6.666666e-04,-1.026667e-02
-9.740000e-06,9.999999e-03,-6.800000e-03
-9.720000e-06,-6.666666e-02,-1.693333e-02
-9.700000e-06,-3.400000e-02,-1.813333e-02
-9.680000e-06,5.399999e-02,3.333333e-03
-9.660000e-06,-2.266666e-02,-8.000000e-03
-9.640000e-06,-8.866666e-02,-2.146667e-02
-9.620000e-06,-2.266666e-02,-3.466667e-03
-9.600000e-06,-1.200000e-02,-1.240000e-02
-9.580000e-06,-5.533333e-02,-1.813333e-02
-9.560000e-06,-6.666666e-02,-2.146667e-02
-9.540000e-06,-7.199999e-02,-1.586667e-02
-9.520000e-06,-4.466666e-02,-5.733334e-03
-9.500000e-06,-4.466666e-02,2.266667e-03
-9.480000e-06,-6.666666e-02,-2.600000e-02
-9.460000e-06,1.533333e-02,-4.533333e-03
-9.440000e-06,-6.666666e-04,1.066667e-03
-9.420000e-06,-4.466666e-02,-1.586667e-02
-9.400000e-06,-9.933332e-02,-2.146667e-02
-9.380000e-06,-5.533333e-02,-1.466667e-02
-9.360000e-06,4.266666e-02,7.866667e-03
-9.340000e-06,-6.000000e-03,-8.000000e-03
-9.320000e-06,-4.466666e-02,1.920000e-02
-9.300000e-06,2.666666e-02,-1.026667e-02
-9.280000e-06,-3.400000e-02,-5.733334e-03
-9.260000e-06,-3.400000e-02,-3.466667e-03
-9.240000e-06,-8.866666e-02,-1.026667e-02
-9.220000e-06,-5.533333e-02,-1.026667e-02
-9.200000e-06,2.133333e-02,5.600000e-03
-9.180000e-06,1.533333e-02,-2.493333e-02
-9.160000e-06,-4.466666e-02,7.866667e-03
-9.140000e-06,2.133333e-02,-1.360000e-02
-9.120000e-06,-6.666666e-04,-2.826667e-02
-9.100000e-06,-3.933333e-02,-1.813333e-02
-9.080000e-06,-1.106667e-01,-2.373333e-02
-9.060000e-06,-5.533333e-02,-2.266667e-02
-9.040000e-06,-1.200000e-02,1.013333e-02
-9.020000e-06,-3.400000e-02,-6.800000e-03
-9.000000e-06,-2.266666e-02,-2.826667e-02
-8.980000e-06,-2.266666e-02,-9.066666e-03
-8.960000e-06,3.200000e-02,-1.240000e-02
-8.940000e-06,-1.200000e-02,-2.600000e-02
-8.920000e-06,-7.733332e-02,-3.960000e-02
-8.900000e-06,-3.400000e-02,-1.466667e-02
-8.880000e-06,3.200000e-02,-1.200000e-03
-8.860000e-06,-1.733333e-02,7.866667e-03
-8.840000e-06,-4.466666e-02,1.013333e-02
-8.820000e-06,-7.733332e-02,-8.000000e-03
-8.800000e-06,-6.666666e-04,-2.373333e-02
-8.780000e-06,-1.733333e-02,-1.026667e-02
-8.760000e-06,-9.933332e-02,-1.693333e-02
-8.740000e-06,-4.466666e-02,-4.533333e-03
-8.720000e-06,3.200000e-02,5.600000e-03
-8.700000e-06,-1.200000e-02,-4.533333e-03
-8.680000e-06,-6.666666e-02,3.333333e-03
-8.660000e-06,-4.466666e-02,-1.133333e-02
-8.640000e-06,6.466666e-02,1.013333e-02
-8.620000e-06,-1.733333e-02,-2.040000e-02
-8.600000e-06,-5.533333e-02,-2.826667e-02
-8.580000e-06,-2.266666e-02,-1.026667e-02
-8.560000e-06,-6.666666e-04,1.066667e-03
-8.540000e-06,4.666666e-03,-1.920000e-02
-8.520000e-06,-7.733332e-02,-2.373333e-02
-8.500000e-06,9.999999e-03,0.000000e+00
