Time(s),CH1V
-7.952000e-02,6.813333e-02
-7.936000e-02,5.240000e-02
-7.920000e-02,5.240000e-02
-7.904000e-02,5.013333e-02
-7.888000e-02,6.133333e-02
-7.872000e-02,6.133333e-02
-7.856000e-02,4.106667e-02
-7.840000e-02,7.040000e-02
-7.824000e-02,6.360000e-02
-7.808000e-02,3.440000e-02
-7.792000e-02,2.080000e-02
-7.776000e-02,8.613333e-02
-7.760000e-02,6.360000e-02
-7.744000e-02,7.493334e-02
-7.728000e-02,3.880000e-02
-7.712000e-02,5.466667e-02
-7.696000e-02,5.013333e-02
-7.680000e-02,2.760000e-02
-7.664000e-02,5.680000e-02
-7.648000e-02,5.013333e-02
-7.632000e-02,5.680000e-02
-7.616000e-02,8.840000e-02
-7.600000e-02,5.240000e-02
-7.584000e-02,4.560000e-02
-7.568000e-02,6.133333e-02
-7.552000e-02,1.064000e-01
-7.536000e-02,3.653333e-02
-7.520000e-02,6.813333e-02
-7.504000e-02,2.986667e-02
-7.488000e-02,5.906667e-02
-7.472000e-02,6.586666e-02
-7.456000e-02,4.786667e-02
-7.440000e-02,6.360000e-02
-7.424000e-02,4.560000e-02
-7.408000e-02,5.680000e-02
-7.392000e-02,7.266667e-02
-7.376000e-02,5.906667e-02
-7.360000e-02,3.440000e-02
-7.344000e-02,6.813333e-02
-7.328000e-02,5.680000e-02
-7.312000e-02,1.853333e-02
-7.296000e-02,5.013333e-02
-7.280000e-02,6.360000e-02
-7.264000e-02,6.586666e-02
-7.248000e-02,5.680000e-02
-7.232000e-02,8.840000e-02
-7.216000e-02,5.240000e-02
-7.200000e-02,4.560000e-02
-7.184000e-02,4.333333e-02
-7.168000e-02,6.360000e-02
-7.152000e-02,7.040000e-02
-7.136000e-02,4.106667e-02
-7.120000e-02,6.133333e-02
-7.104000e-02,5.466667e-02
-7.088000e-02,7.040000e-02
-7.072000e-02,9.066667e-02
-7.056000e-02,6.360000e-02
-7.040000e-02,4.106667e-02
-7.024000e-02,6.360000e-02
-7.008000e-02,3.653333e-02
-6.992000e-02,5.680000e-02
-6.976000e-02,5.466667e-02
-6.960000e-02,6.360000e-02
-6.944000e-02,5.013333e-02
-6.928000e-02,8.613333e-02
-6.912000e-02,8.613333e-02
-6.896000e-02,8.613333e-02
-6.880000e-02,2.986667e-02
-6.864000e-02,5.240000e-02
-6.848000e-02,5.013333e-02
-6.832000e-02,4.560000e-02
-6.816000e-02,6.586666e-02
-6.800000e-02,5.013333e-02
-6.784000e-02,2.986667e-02
-6.768000e-02,4.560000e-02
-6.752000e-02,4.333333e-02
-6.736000e-02,5.466667e-02
-6.720000e-02,5.013333e-02
-6.704000e-02,7.040000e-02
-6.688000e-02,6.133333e-02
-6.672000e-02,3.213333e-02
-6.656000e-02,6.586666e-02
-6.640000e-02,5.466667e-02
-6.624000e-02,8.386667e-02
-6.608000e-02,5.013333e-02
-6.592000e-02,6.133333e-02
-6.576000e-02,6.360000e-02
-6.560000e-02,6.813333e-02
-6.544000e-02,4.560000e-02
-6.528000e-02,7.933334e-02
-6.512000e-02,3.653333e-02
-6.496000e-02,5.906667e-02
-6.480000e-02,7.493334e-02
-6.464000e-02,5.013333e-02
-6.448000e-02,8.160000e-02
-6.432000e-02,6.360000e-02
-6.416000e-02,6.586666e-02
-6.400000e-02,2.533333e-02
-6.384000e-02,3.653333e-02
-6.368000e-02,4.106667e-02
-6.352000e-02,4.560000e-02
-6.336000e-02,2.986667e-02
-6.320000e-02,4.106667e-02
-6.304000e-02,6.133333e-02
-6.288000e-02,5.680000e-02
-6.272000e-02,5.013333e-02
-6.256000e-02,4.106667e-02
-6.240000e-02,5.906667e-02
-6.224000e-02,3.880000e-02
-6.208000e-02,5.466667e-02
-6.192000e-02,4.786667e-02
-6.176000e-02,7.933334e-02
-6.160000e-02,9.960000e-02
-6.144000e-02,6.133333e-02
-6.128000e-02,7.266667e-02
